x,y
195.0888062,-2
195.7161865,-2
196.3435822,-2
196.970993,-2
197.5984344,-2
198.2259369,-2
198.8534851,-2
199.4811096,-2
200.1088104,-1.999992609
200.7366791,-1.999661684
201.364624,-1.998839021
201.9926453,-1.9975245
202.6207275,-1.995718002
203.2488708,-1.993419409
203.8770447,-1.990628719
204.505249,-1.987345695
205.1334686,-1.983570576
205.7616882,-1.97930336
206.3899231,-1.97454381
207.018158,-1.969292045
207.6464386,-1.963547826
208.2747498,-1.957310915
208.9031067,-1.950581074
209.5315399,-1.943358183
210.1600342,-1.935641766
210.7886047,-1.927431822
211.4172516,-1.918728113
212.0459595,-1.909530401
212.6747131,-1.899838805
213.3035278,-1.889653325
213.9323883,-1.878973842
214.561264,-1.867800593
215.190155,-1.856133699
215.8190613,-1.84397316
216.4479828,-1.831318855
217.0769043,-1.818170905
217.7058411,-1.80452919
218.3348083,-1.790393353
218.9637909,-1.775763273
219.5928192,-1.760638475
220.2218933,-1.745018721
220.8510284,-1.728903651
221.4802094,-1.71229279
222.1094666,-1.695186138
222.7387695,-1.677583575
223.3681335,-1.659485102
223.9975433,-1.640890718
224.6269836,-1.62180078
225.2564545,-1.602215171
225.8859406,-1.582134247
226.5154419,-1.561558008
227.1449585,-1.540486455
227.7744751,-1.518919587
228.404007,-1.496857166
229.0335693,-1.474299192
229.6631317,-1.45124507
230.2927399,-1.427694917
230.9223633,-1.403648019
231.5520325,-1.379104376
232.1817474,-1.354063511
232.8114929,-1.328525305
233.4412994,-1.302489519
234.0711365,-1.275956035
234.7010193,-1.248924732
235.3309326,-1.221395612
235.9608917,-1.193368912
236.5908661,-1.164844513
237.2208862,-1.135822535
237.8509064,-1.106303096
238.480957,-1.076286197
239.1110077,-1.045771956
239.7410889,-1.014760256
240.37117,-0.983250856
241.0012817,-0.951243699
241.6314087,-0.918738544
242.2615509,-0.885735154
242.8917389,-0.852233171
243.5219269,-0.818232417
244.1521606,-0.783732533
244.7824249,-0.748733342
245.4127197,-0.713234723
246.0430603,-0.677236378
246.6734161,-0.640738368
247.3038177,-0.603740573
247.9342346,-0.566242993
248.564682,-0.528245687
249.1951447,-0.489748627
249.8256378,-0.45075196
250.456131,-0.411255598
251.0866547,-0.371260315
251.7171326,-0.330767959
252.34758,-0.289779484
252.9779816,-0.248295337
253.6083221,-0.206315368
254.2386475,-0.163838834
254.8689728,-0.120863594
255.4993286,-0.0773862
256.1297913,-0.033403862
256.7603455,0.011085295
257.3910217,0.056082074
258.0217896,0.101586252
258.6526489,0.147596896
259.2835693,0.194112673
259.9145508,0.241132036
260.5455322,0.288653582
261.1765442,0.336675972
261.8075256,0.385198146
262.4384766,0.43421939
263.069397,0.483739197
263.7002869,0.533757627
264.3311768,0.584275663
264.9620361,0.635294557
265.5929565,0.686816216
266.223877,0.738842726
266.8548889,0.791376173
267.4859619,0.844417989
268.1171265,0.897968948
268.7483826,0.952028632
269.3796692,1.006595612
270.0110168,1.061668158
270.6423645,1.117244244
271.2736816,1.173322082
271.9049988,1.229900956
272.5362854,1.286980748
273.167572,1.344562173
273.7988281,1.402646542
274.4301147,1.461235404
275.0614319,1.520330191
275.6927795,1.579931974
276.3241577,1.640040994
276.9555664,1.700657606
277.5870361,1.761781573
278.2185059,1.823412418
278.8500061,1.885550022
279.4815369,1.948193908
280.1130676,2.011343956
280.7446289,2.074999809
281.3761902,2.139161348
282.0077209,2.203828096
282.6392822,2.269000292
283.2708435,2.334678173
283.9024048,2.40086174
284.5339966,2.467552423
285.1655884,2.534750938
285.7972107,2.602458239
286.4288635,2.670675278
287.0605469,2.739402771
287.6922913,2.808640003
288.3240356,2.878386497
288.95578,2.948641062
289.5875549,3.019402742
290.2192993,3.090670347
290.8510132,3.162443161
291.4827271,3.234721661
292.1144409,3.307506323
292.7461548,3.380797863
293.3778381,3.454598188
294.0095825,3.528908253
294.6413269,3.603729248
295.2731018,3.679062128
295.9049072,3.754907131
296.5367432,3.831264257
297.1686096,3.908133507
297.8005066,3.985513926
298.4324036,4.06340456
299.0643005,4.141805172
299.696167,4.220714569
300.328064,4.300131321
300.9598999,4.380054951
301.5917358,4.460485935
302.2235413,4.541423798
302.8553467,4.622869492
303.4871216,4.704824448
304.1188965,4.787290096
304.7507019,4.870267868
305.3825073,4.95375967
306.0143738,5.037766457
306.6462708,5.122288704
307.2781677,5.207326412
307.9100952,5.292878151
308.5420532,5.378943443
309.1739807,5.465519905
309.8059082,5.552606583
310.4378052,5.640201569
311.0696716,5.728304863
311.7015076,5.816916466
312.333313,5.9060359
312.9651184,5.995664597
313.5968628,6.085803986
314.2286377,6.176455021
314.8603821,6.26761961
315.492157,6.359299183
316.1239319,6.451494694
316.7557373,6.544206619
317.3875732,6.637435913
318.0194092,6.731182098
318.6512756,6.825443268
319.2831116,6.920219421
319.9149475,7.015508175
320.5467529,7.111308575
321.1785583,7.207618713
321.8103027,7.304438114
322.4419861,7.401766777
323.0736694,7.499605656
323.7052917,7.597955227
