X_Target,Y_Target
-81.85945892,0
-81.7205658,0
-81.58167267,0
-81.44278717,0
-81.30389404,0
-81.16500854,0
-81.02611542,0
-80.88722992,0
-80.74833679,0
-80.60944366,0
-80.47055817,0
-80.33166504,0
-80.19277954,0
-80.05388641,0
-79.91500092,0
-79.77610779,0
-79.63722229,0
-79.49832916,0
-79.35944366,0
-79.22055054,0
-79.08166504,0
-78.94277191,0
-78.80388641,0
-78.66500092,0
-78.52610779,0
-78.38722229,0
-78.24832916,0
-78.10944366,0
-77.97055054,0
-77.83166504,0
-77.69277191,0
-77.55388641,0
-77.41500092,0
-77.27610779,0
-77.13722229,0
-76.99832916,0
-76.85944366,0
-76.72055817,0
-76.58166504,0
-76.44277954,0
-76.30388641,0
-76.16500092,0
-76.02611542,0
-75.88722229,0
-75.74833679,0
-75.60944366,0
-75.47055817,0
-75.33167267,0
-75.19277954,0
-75.05389404,0
-74.91500092,0
-74.77611542,0
-74.63722992,0
-74.49833679,0
-74.35945129,0
-74.2205658,0
-74.08167267,0
-73.94278717,0
-73.80389404,0
-73.66500854,0
-73.52612305,0
-73.38722992,0
-73.24834442,0
-73.10945892,0
-72.9705658,0
-72.8316803,0
-72.69278717,0
-72.55390167,0
-72.41501617,0
-72.27612305,0
-72.13723755,0
-71.99835205,0
-71.85945892,0
-71.72057343,0
-71.58168793,0
-71.4427948,0
-71.3039093,0
-71.16501617,0
-71.02613068,0
-70.88724518,0
-70.74835205,0
-70.60946655,0
-70.47058105,0
-70.33168793,0
-70.19280243,0
-70.0539093,0
-69.9150238,0
-69.77613831,0
-69.63724518,0
-69.49835968,0
-69.35947418,0
-69.22058105,0
-69.08169556,0
-68.94280243,0
-68.80391693,0
-68.66503143,0
-68.52613831,0
-68.38725281,0
-68.24836731,0
-68.10947418,0
-67.97058868,0
-67.83169556,0
-67.69281006,0
-67.55392456,0
-67.41503143,0
-67.27614594,0
-67.13725281,0
-66.99836731,0
-66.85948181,0
-66.72058868,0
-66.58170319,0
-66.44281006,0
-66.30392456,0
-66.16503906,0
-66.02614594,0
-65.88726044,0
-65.74836731,0
-65.60948181,0
-65.47059631,0
-65.33170319,0
-65.19281769,0
-65.05392456,0
-64.91503906,0
-64.77615356,0
-64.63726044,0
-64.49837494,0
-64.35948181,0
-64.22059631,0
-64.08170319,0
-63.94281769,0
-63.80392838,0
-63.66503906,0
-63.52614975,0
-63.38726425,0
-63.24837494,0
-63.10948563,0
-62.97059631,0
-62.831707,0
-62.69281769,0
-62.55392838,0
-62.41504288,0
-62.27615356,0
-62.13726425,0
-61.99837494,0
-61.85948563,0
-61.72059631,0
-61.581707,0
-61.4428215,0
-61.30393219,0
