x,y
-8.468,-23.36462
-8.658000001,-23.36688
-8.664000001,-22.89355
-8.876,-22.89607
-8.881,-22.42274
-9.105,-22.4254
-9.11,-21.95207
-9.323000001,-21.95459
-9.329000001,-21.45591
-9.541,-21.45843
-9.547,-20.9682
-9.547,-20.9682
-9.553,-20.48641
-10.022,-20.49199
-10.033,-19.54533
-10.245,-19.54786
-10.251,-19.09988
-10.452,-19.10227
-10.457,-18.67121
-10.669,-18.67373
-10.674,-18.22576
-10.831,-18.22762
-10.836,-17.79655
-10.992,-17.79841
-10.997,-17.3927
-11.165,-17.39469
-11.169,-16.98898
-11.337,-16.99097
-11.342,-16.60216
-11.487,-16.60389
-11.491,-16.23199
-11.648,-16.23385
-11.652,-15.89575
-11.808,-15.89761
-11.812,-15.55952
-11.957,-15.56125
-11.961,-15.23161
-12.107,-15.23333
-12.11,-14.92905
-12.267,-14.93091
-12.27,-14.62663
-12.404,-14.62822
-12.408,-14.34929
-12.519,-14.35062
-12.522,-14.1055
-12.634,-14.10683
-12.634,-14.10683
-12.746,-14.10816
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
-12.748,-13.87149
