Xo,Yo
39.08106232,4.197428226
39.37521362,4.155762196
39.66864014,4.110285282
39.96129608,4.061007023
40.25312805,4.007928848
40.54408264,3.951056719
40.83410645,3.890403748
41.12314606,3.825986624
41.41113663,3.757819414
41.69802856,3.685916424
41.98375702,3.610296726
42.26826859,3.530986786
42.55149841,3.448014498
42.8333931,3.361402988
43.1138916,3.271166086
43.39293671,3.177320242
43.67047119,3.079886198
43.94644165,2.978877068
44.22079086,2.874307394
44.49346542,2.766201496
44.76441956,2.654580593
45.03359222,2.539463043
45.30094147,2.420877695
45.56641388,2.298862696
45.82996368,2.173453569
46.0915451,2.044685841
46.35111618,1.91259706
46.60863876,1.777230978
46.86407089,1.638629436
47.11737823,1.496827483
47.36851501,1.351857901
47.61745071,1.203755498
47.86413574,1.052557945
48.10853958,0.898303747
48.35061264,0.741033494
48.5903244,0.580790699
48.8276329,0.417623997
49.06250381,0.251585692
49.2949028,0.082728639
49.52480316,-0.088894792
49.75217056,-0.263230979
49.97698212,-0.440225899
50.19921112,-0.619826853
50.41883087,-0.80198276
50.6358223,-0.986647248
50.85015869,-1.173776031
51.06180954,-1.363324642
51.27075577,-1.555249572
51.47697067,-1.749510527
51.68042374,-1.946067929
51.88108444,-2.144880056
52.07893372,-2.345901966
52.27394485,-2.549088717
52.46609116,-2.75440073
52.65534973,-2.961796761
52.84169388,-3.1712327
53.02510452,-3.38266468
53.20556641,-3.596054316
53.38302231,-3.811392307
53.55744171,-4.028666019
53.72880936,-4.247831821
53.89712524,-4.468846798
54.06235123,-4.691691399
54.22444534,-4.916352749
54.38337326,-5.142799377
54.53913116,-5.370979309
54.69170761,-5.600841045
54.84107971,-5.832343102
54.98722076,-6.065448284
55.13011169,-6.30010891
55.26973724,-6.536269188
55.40609741,-6.773868084
55.53924179,-7.012817383
55.66938019,-7.252929688
55.79667664,-7.494073391
55.92126846,-7.736134052
56.04341888,-7.978927135
56.163414,-8.222268105
56.28151703,-8.466004372
56.39792252,-8.710033417
56.51279068,-8.954278946
56.6263237,-9.198651314
56.73871613,-9.443069458
56.85015106,-9.687466621
56.96080017,-9.931781769
57.07083893,-10.17596054
57.18044281,-10.4199543
57.28977966,-10.66371441
57.39902496,-10.90719795
57.50825119,-11.15043259
57.61724854,-11.39369869
57.72620773,-11.63706684
57.83575058,-11.88037205
57.94573212,-12.12374878
58.05519867,-12.36764812
58.16366196,-12.61228752
58.27162933,-12.85743427
58.37957382,-13.10287285
58.48714066,-13.34873199
58.5937767,-13.59520721
58.69960022,-13.84223843
58.80378342,-14.09000587
58.90678024,-14.33795166
59.00994492,-14.58506298
59.11165619,-14.83198547
59.21043015,-15.07945061
59.30792236,-15.32702255
59.40636063,-15.57404232
59.50524139,-15.82083893
59.60268021,-16.06819534
59.69863129,-16.31610298
59.79448318,-16.56393814
59.89047623,-16.81149483
59.985569,-17.05904579
60.07951355,-17.3065834
60.17331314,-17.55368042
60.26763153,-17.8001194
60.36207962,-18.04617882
60.45628738,-18.29216003
60.55074692,-18.5380249
60.64597702,-18.7836647
60.74172592,-19.02919006
60.8374939,-19.2747345
60.93331528,-19.52018929
61.02953339,-19.76532173
61.12608719,-20.01008415
61.22258377,-20.25461006
61.31890106,-20.49897003
61.41526031,-20.74313354
61.51177979,-20.98712158
61.608284,-21.23105049
61.70463562,-21.47499657
