,acce_x,acce_y,drivetorque_fl_fb,drivetorque_fr_fb,drivetorque_rl_fb,drivetorque_rr_fb,gauss_heading,gauss_v,gauss_x,gauss_y,steerangle_fb
143,-0.347771525,9.776870728,46,46,46,46,-2.059534723,1.464485935,4546372.166,-88768.8124,11
144,0.258878469,9.616607666,46,46,46,46,-2.060249382,1.480419408,4546372.223,-88768.94697,11
145,0.376970142,9.798112869,46,46,46,46,-2.058696094,1.439469188,4546372.293,-88769.12367,11
146,-0.09504699,9.472574234,46,46,46,46,-2.057216708,1.437693626,4546372.361,-88769.24966,11
147,-0.11774715,9.932103157,46,46,46,46,-2.058171318,1.434001947,4546372.43,-88769.42636,11
148,0.631624341,10.0763731,46,46,46,46,-2.060667232,1.433232203,4546372.51,-88769.55222,11
149,0.322209597,9.861087799,44,46,44,46,-2.060720363,1.381429171,4546372.568,-88769.72905,11
150,-0.093234457,9.730293274,44,46,44,46,-2.059045634,1.377334986,4546372.625,-88769.85517,11
151,-0.350591838,9.494381905,44,46,44,46,-2.059069069,1.388336036,4546372.683,-88770.02355,1
152,0.117134258,9.393465042,44,46,44,46,-2.06106684,1.39156862,4546372.752,-88770.14954,1
153,0.394838542,9.999343872,46,46,46,46,-2.062234503,1.396706316,4546372.821,-88770.30934,1
154,-0.091361433,10.03900242,46,46,46,46,-2.060841536,1.387262034,4546372.889,-88770.42687,1
155,-0.165579736,9.716010094,46,46,46,46,-2.060629682,1.435536065,4546372.958,-88770.56131,1
156,0.439170808,10.06476974,46,46,44,46,-2.060911844,1.453599433,4546373.026,-88770.6873,1
157,0.570496619,10.20323086,43,46,43,46,-2.05894723,1.413877216,4546373.095,-88770.82174,1
158,-0.155681729,9.440759659,43,43,43,46,-2.059221269,1.40296055,4546373.163,-88770.94773,1
159,-0.238598928,9.441915512,43,43,43,46,-2.061843817,1.445252127,4546373.232,-88771.07372,1
160,0.465663821,10.36283302,43,43,43,43,-2.061687623,1.451943531,4546373.3,-88771.1997,1
161,-0.334335566,10.36244583,43,43,43,43,-2.058828719,1.446691981,4546373.38,-88771.34246,1
162,-0.303353965,10.33639336,43,43,43,43,-2.056500184,1.474436493,4546373.449,-88771.46845,1
163,-0.160667315,8.811378479,43,43,43,43,-2.05723282,1.496669926,4546373.506,-88771.60302,1
164,0.386429131,9.279143333,43,43,43,43,-2.06033234,1.499154406,4546373.575,-88771.73746,1
165,0.239002421,10.25989437,43,43,43,43,-2.061421972,1.465363186,4546373.632,-88771.87204,1
166,-0.125482127,10.08845329,43,43,43,43,-2.057344673,1.490124968,4546373.69,-88772.00661,1
167,-0.375835806,9.184353828,43,43,39,39,-2.055517877,1.497216314,4546373.77,-88772.13246,1
168,0.399630934,9.62475872,43,43,39,39,-2.057396737,1.496502986,4546373.838,-88772.2669,-16
169,0.013936413,9.925919533,41,43,41,39,-2.057045733,1.481834369,4546373.929,-88772.36727,-16
170,0.053612627,10.20981789,41,39,39,39,-2.05264193,1.485513634,4546374.009,-88772.51003,-16
171,-0.479641169,9.111555099,37,37,37,39,-2.052359235,1.504452525,4546374.077,-88772.64447,-16
172,-0.069621459,9.660117149,37,37,37,39,-2.055961427,1.528443378,4546374.146,-88772.77046,-16
173,0.133860305,10.50165653,41,37,41,39,-2.054113592,1.555319809,4546374.215,-88772.91335,-16
174,-0.013856005,9.94161129,39,37,37,39,-2.047550898,1.568473978,4546374.25,-88773.06509,-16
175,0.17201978,9.027835846,35,37,34,39,-2.044570554,1.593845051,4546374.33,-88773.1994,-16
176,0.194711447,9.414814949,34,37,34,39,-2.047454092,1.565274571,4546374.42,-88773.30822,-16
177,-0.333798349,10.15838718,34,34,35,39,-2.049088208,1.593463064,4546374.489,-88773.44266,-16
178,0.636178553,10.3030014,34,34,34,39,-2.046382303,1.568339538,4546374.546,-88773.56032,-16
179,0.148783267,9.640930176,34,34,34,39,-2.041855861,1.500837432,4546374.604,-88773.67799,-16
180,-0.296590477,9.436120987,34,34,34,34,-2.040723085,1.527994686,4546374.672,-88773.80398,-16
181,-0.221538514,10.05136299,34,34,34,34,-2.04404924,1.522825025,4546374.74,-88773.91306,-16
182,0.119306736,10.37415123,34,34,34,34,-2.042118715,1.536405069,4546374.82,-88774.04737,-16
183,0.071822174,9.442640305,34,34,34,34,-2.035396364,1.506729632,4546374.833,-88774.19093,-16
184,-0.500392675,8.612831116,34,34,34,34,-2.032746252,1.503925416,4546374.902,-88774.32537,-16
185,-0.038720462,10.32140636,34,34,35,34,-2.033901798,1.496114657,4546374.959,-88774.42613,-16
186,-0.045064539,10.7473774,34,35,35,34,-2.033824699,1.492442268,4546375.028,-88774.56057,-16
187,0.216681316,9.4605093,35,35,35,34,-2.029074552,1.462398794,4546375.085,-88774.66979,-16
188,-0.312095016,9.102996826,35,34,34,34,-2.027634847,1.480147368,4546375.153,-88774.79577,-16
189,0.043042008,9.658802986,35,35,35,35,-2.03258047,1.462941733,4546375.233,-88774.88782,-16
190,-0.237426132,10.39266205,35,35,35,35,-2.032990597,1.452994824,4546375.312,-88775.01367,-16
191,-0.48690626,10.52797604,35,35,35,35,-2.0244296,1.458878258,4546375.325,-88775.14033,-16
192,-0.056131553,9.738988876,34,35,35,35,-2.01701203,1.488973879,4546375.382,-88775.2749,-29
193,-0.062984139,8.979046822,34,35,34,35,-2.019709413,1.454126602,4546375.417,-88775.37593,-29
194,0.062258549,9.337741852,34,37,37,35,-2.02672125,1.458122358,4546375.497,-88775.50178,-31
195,-0.392307997,10.19093609,39,37,39,35,-2.027115797,1.406705673,4546375.565,-88775.58551,-31
